MODULE=MIS Manager|STATUS=PARTIAL|FILES=31|FILES_SAMPLE=financeops/modules/mis_manager/__init__.py; financeops/modules/mis_manager/api/routes.py; financeops/modules/mis_manager/api/schemas.py|ROUTES=POST /; POST /; POST /|PAGES=app/(dashboard)/mis/page.tsx|TESTS=54|PASS=YES
MODULE=GL/TB Reconciliation|STATUS=COMPLETE|FILES=20|FILES_SAMPLE=financeops/modules/reconciliation_bridge/__init__.py; financeops/modules/reconciliation_bridge/api/routes.py; financeops/modules/reconciliation_bridge/api/schemas.py|ROUTES=POST /; POST /; GET /|PAGES=app/(dashboard)/reconciliation/gl-tb/page.tsx; app/(dashboard)/reconciliation/payroll/page.tsx|TESTS=21|PASS=YES
MODULE=Multi-entity Consolidation (IAS 21)|STATUS=COMPLETE|FILES=25|FILES_SAMPLE=financeops/modules/multi_entity_consolidation/__init__.py; financeops/modules/multi_entity_consolidation/api/routes.py; financeops/modules/multi_entity_consolidation/api/schemas.py|ROUTES=POST /; GET /; GET /|PAGES=app/(dashboard)/consolidation/page.tsx|TESTS=37|PASS=YES
MODULE=IFRS 16 Leases|STATUS=PARTIAL|FILES=1|FILES_SAMPLE=financeops/api/v1/lease.py|ROUTES=POST /run; GET /run/{run_id}; GET /results/{run_id}|PAGES=-|TESTS=35|PASS=YES
MODULE=IAS 16 Fixed Assets|STATUS=COMPLETE|FILES=1|FILES_SAMPLE=financeops/api/v1/fixed_assets.py|ROUTES=POST /run; GET /run/{run_id}; GET /results/{run_id}|PAGES=-|TESTS=34|PASS=YES
MODULE=IFRS 15 Revenue Recognition|STATUS=PARTIAL|FILES=1|FILES_SAMPLE=financeops/api/v1/revenue.py|ROUTES=POST /run; GET /run/{run_id}; GET /results/{run_id}|PAGES=-|TESTS=35|PASS=YES
MODULE=Payroll GL|STATUS=PARTIAL|FILES=28|FILES_SAMPLE=financeops/modules/payroll_gl_normalization/__init__.py; financeops/modules/payroll_gl_normalization/api/routes.py; financeops/modules/payroll_gl_normalization/api/schemas.py|ROUTES=POST /; POST /; GET /|PAGES=app/(dashboard)/reconciliation/payroll/page.tsx|TESTS=88|PASS=YES
MODULE=Cash Flow (IAS 7)|STATUS=COMPLETE|FILES=23|FILES_SAMPLE=financeops/modules/cash_flow_engine/__init__.py; financeops/modules/cash_flow_engine/api/routes.py; financeops/modules/cash_flow_engine/api/schemas.py|ROUTES=POST /; GET /; GET /|PAGES=-|TESTS=29|PASS=YES
MODULE=Equity Engine (SOCIE)|STATUS=COMPLETE|FILES=23|FILES_SAMPLE=financeops/modules/equity_engine/__init__.py; financeops/modules/equity_engine/api/routes.py; financeops/modules/equity_engine/api/schemas.py|ROUTES=POST /; GET /; GET /|PAGES=-|TESTS=26|PASS=YES
MODULE=60+ Financial Ratios|STATUS=COMPLETE|FILES=25|FILES_SAMPLE=financeops/modules/ratio_variance_engine/__init__.py; financeops/modules/ratio_variance_engine/api/routes.py; financeops/modules/ratio_variance_engine/api/schemas.py|ROUTES=POST /; GET /; GET /|PAGES=-|TESTS=5|PASS=UNKNOWN
MODULE=GST Reconciliation|STATUS=PARTIAL|FILES=1|FILES_SAMPLE=financeops/api/v1/gst.py|ROUTES=POST /returns; GET /returns; POST /reconcile|PAGES=-|TESTS=9|PASS=YES
