METHOD	PATH	HANDLER
GET	/api/v1/accounting/jv/	list_jvs_endpoint
POST	/api/v1/accounting/jv/	create_jv_endpoint
GET	/api/v1/accounting/jv/ap-ageing/export	ap_ageing_export_endpoint
GET	/api/v1/accounting/jv/ap-ageing/summary	ap_ageing_summary_endpoint
POST	/api/v1/accounting/jv/audit/export	audit_export_endpoint
GET	/api/v1/accounting/jv/audit/exports	list_audit_exports_endpoint
GET	/api/v1/accounting/jv/sla/metrics	sla_metrics_endpoint
GET	/api/v1/accounting/jv/{jv_id}	get_jv_endpoint
GET	/api/v1/accounting/jv/{jv_id}/approvals	get_jv_approvals_endpoint
POST	/api/v1/accounting/jv/{jv_id}/approve	approve_jv_endpoint
GET	/api/v1/accounting/jv/{jv_id}/history	get_jv_history_endpoint
PUT	/api/v1/accounting/jv/{jv_id}/lines	update_jv_lines_endpoint
POST	/api/v1/accounting/jv/{jv_id}/transition	transition_jv_endpoint
GET	/api/v1/admin/ai/providers	list_provider_slots
PATCH	/api/v1/admin/ai/providers/{slot_name}	update_provider_slot
POST	/api/v1/admin/ai/providers/{slot_name}/disable	disable_provider_slot
POST	/api/v1/admin/ai/providers/{slot_name}/enable	enable_provider_slot
GET	/api/v1/advisory/fdd/engagements	list_engagements_endpoint
POST	/api/v1/advisory/fdd/engagements	create_engagement_endpoint
GET	/api/v1/advisory/fdd/engagements/{engagement_id}	get_engagement_endpoint
GET	/api/v1/advisory/fdd/engagements/{engagement_id}/export	export_endpoint
GET	/api/v1/advisory/fdd/engagements/{engagement_id}/report	report_endpoint
POST	/api/v1/advisory/fdd/engagements/{engagement_id}/run	run_engagement_endpoint
GET	/api/v1/advisory/ma/workspaces	list_workspaces_endpoint
POST	/api/v1/advisory/ma/workspaces	create_workspace_endpoint
GET	/api/v1/advisory/ma/workspaces/{workspace_id}	get_workspace_endpoint
PATCH	/api/v1/advisory/ma/workspaces/{workspace_id}	patch_workspace_endpoint
GET	/api/v1/advisory/ma/workspaces/{workspace_id}/dd	dd_summary_endpoint
POST	/api/v1/advisory/ma/workspaces/{workspace_id}/dd	create_dd_item_endpoint
PATCH	/api/v1/advisory/ma/workspaces/{workspace_id}/dd/{item_id}	patch_dd_item_endpoint
GET	/api/v1/advisory/ma/workspaces/{workspace_id}/documents	list_documents_endpoint
POST	/api/v1/advisory/ma/workspaces/{workspace_id}/documents	register_document_endpoint
POST	/api/v1/advisory/ma/workspaces/{workspace_id}/members	add_member_endpoint
GET	/api/v1/advisory/ma/workspaces/{workspace_id}/valuations	list_valuations_endpoint
POST	/api/v1/advisory/ma/workspaces/{workspace_id}/valuations	create_valuation_endpoint
GET	/api/v1/advisory/ppa/engagements	list_engagements_endpoint
POST	/api/v1/advisory/ppa/engagements	create_engagement_endpoint
GET	/api/v1/advisory/ppa/engagements/{engagement_id}	get_engagement_endpoint
GET	/api/v1/advisory/ppa/engagements/{engagement_id}/export	export_endpoint
POST	/api/v1/advisory/ppa/engagements/{engagement_id}/identify-intangibles	identify_intangibles_endpoint
GET	/api/v1/advisory/ppa/engagements/{engagement_id}/report	report_endpoint
POST	/api/v1/advisory/ppa/engagements/{engagement_id}/run	run_ppa_endpoint
POST	/api/v1/ai/stream	stream_ai_response
GET	/api/v1/anomalies	list_anomaly_alerts
GET	/api/v1/anomalies/thresholds	list_anomaly_thresholds
PUT	/api/v1/anomalies/thresholds/{rule_code}	update_anomaly_threshold
GET	/api/v1/anomalies/{alert_id}	get_anomaly_alert
PATCH	/api/v1/anomalies/{alert_id}/status	update_anomaly_alert_status
GET	/api/v1/anomaly-engine/anomaly-definitions	list_anomaly_definitions
POST	/api/v1/anomaly-engine/anomaly-definitions	create_anomaly_definition
GET	/api/v1/anomaly-engine/anomaly-definitions/{id}/versions	list_anomaly_definition_versions
GET	/api/v1/anomaly-engine/correlation-rules	list_correlation_rules
POST	/api/v1/anomaly-engine/correlation-rules	create_correlation_rule
GET	/api/v1/anomaly-engine/pattern-rules	list_pattern_rules
POST	/api/v1/anomaly-engine/pattern-rules	create_pattern_rule
GET	/api/v1/anomaly-engine/persistence-rules	list_persistence_rules
POST	/api/v1/anomaly-engine/persistence-rules	create_persistence_rule
POST	/api/v1/anomaly-engine/runs	create_run
GET	/api/v1/anomaly-engine/runs/{id}	get_run
GET	/api/v1/anomaly-engine/runs/{id}/evidence	list_evidence
POST	/api/v1/anomaly-engine/runs/{id}/execute	execute_run
GET	/api/v1/anomaly-engine/runs/{id}/results	list_results
GET	/api/v1/anomaly-engine/runs/{id}/rollforwards	list_rollforwards
GET	/api/v1/anomaly-engine/runs/{id}/signals	list_signals
GET	/api/v1/anomaly-engine/statistical-rules	list_statistical_rules
POST	/api/v1/anomaly-engine/statistical-rules	create_statistical_rule
GET	/api/v1/audit/access	list_access_endpoint
POST	/api/v1/audit/access/grant	grant_access_endpoint
PATCH	/api/v1/audit/access/{access_id}/revoke	revoke_access_endpoint
GET	/api/v1/audit/portal/requests	auditor_list_requests_endpoint
POST	/api/v1/audit/portal/requests	auditor_create_request_endpoint
GET	/api/v1/audit/{engagement_id}/pbc	pbc_tracker_endpoint
POST	/api/v1/audit/{engagement_id}/requests/{request_id}/respond	respond_endpoint
GET	/api/v1/auditor/access-logs	get_access_logs
GET	/api/v1/auditor/grants	list_auditor_grants
POST	/api/v1/auditor/grants	create_auditor_grant
DELETE	/api/v1/auditor/grants/{grant_id}	revoke_grant
GET	/api/v1/auditor/me/access-check	check_my_access
POST	/api/v1/auth/accept-invite	accept_invite
POST	/api/v1/auth/forgot-password	forgot_password
POST	/api/v1/auth/login	user_login
POST	/api/v1/auth/logout	user_logout
GET	/api/v1/auth/me	get_me
