CATEGORY	METHOD	PATH	HANDLER
accounting	GET	/api/v1/accounting/jv/	list_jvs_endpoint
accounting	POST	/api/v1/accounting/jv/	create_jv_endpoint
accounting	GET	/api/v1/accounting/jv/ap-ageing/export	ap_ageing_export_endpoint
accounting	GET	/api/v1/accounting/jv/ap-ageing/summary	ap_ageing_summary_endpoint
accounting	POST	/api/v1/accounting/jv/audit/export	audit_export_endpoint
accounting	GET	/api/v1/accounting/jv/audit/exports	list_audit_exports_endpoint
accounting	GET	/api/v1/accounting/jv/sla/metrics	sla_metrics_endpoint
accounting	GET	/api/v1/accounting/jv/{jv_id}	get_jv_endpoint
accounting	GET	/api/v1/accounting/jv/{jv_id}/approvals	get_jv_approvals_endpoint
accounting	POST	/api/v1/accounting/jv/{jv_id}/approve	approve_jv_endpoint
accounting	GET	/api/v1/accounting/jv/{jv_id}/history	get_jv_history_endpoint
accounting	PUT	/api/v1/accounting/jv/{jv_id}/lines	update_jv_lines_endpoint
accounting	POST	/api/v1/accounting/jv/{jv_id}/transition	transition_jv_endpoint
misc	GET	/api/v1/admin/ai/providers	list_provider_slots
misc	PATCH	/api/v1/admin/ai/providers/{slot_name}	update_provider_slot
misc	POST	/api/v1/admin/ai/providers/{slot_name}/disable	disable_provider_slot
misc	POST	/api/v1/admin/ai/providers/{slot_name}/enable	enable_provider_slot
misc	GET	/api/v1/advisory/fdd/engagements	list_engagements_endpoint
misc	POST	/api/v1/advisory/fdd/engagements	create_engagement_endpoint
misc	GET	/api/v1/advisory/fdd/engagements/{engagement_id}	get_engagement_endpoint
misc	GET	/api/v1/advisory/fdd/engagements/{engagement_id}/export	export_endpoint
misc	GET	/api/v1/advisory/fdd/engagements/{engagement_id}/report	report_endpoint
misc	POST	/api/v1/advisory/fdd/engagements/{engagement_id}/run	run_engagement_endpoint
misc	GET	/api/v1/advisory/ma/workspaces	list_workspaces_endpoint
misc	POST	/api/v1/advisory/ma/workspaces	create_workspace_endpoint
misc	GET	/api/v1/advisory/ma/workspaces/{workspace_id}	get_workspace_endpoint
misc	PATCH	/api/v1/advisory/ma/workspaces/{workspace_id}	patch_workspace_endpoint
misc	GET	/api/v1/advisory/ma/workspaces/{workspace_id}/dd	dd_summary_endpoint
misc	POST	/api/v1/advisory/ma/workspaces/{workspace_id}/dd	create_dd_item_endpoint
misc	PATCH	/api/v1/advisory/ma/workspaces/{workspace_id}/dd/{item_id}	patch_dd_item_endpoint
misc	GET	/api/v1/advisory/ma/workspaces/{workspace_id}/documents	list_documents_endpoint
misc	POST	/api/v1/advisory/ma/workspaces/{workspace_id}/documents	register_document_endpoint
misc	POST	/api/v1/advisory/ma/workspaces/{workspace_id}/members	add_member_endpoint
misc	GET	/api/v1/advisory/ma/workspaces/{workspace_id}/valuations	list_valuations_endpoint
misc	POST	/api/v1/advisory/ma/workspaces/{workspace_id}/valuations	create_valuation_endpoint
misc	GET	/api/v1/advisory/ppa/engagements	list_engagements_endpoint
misc	POST	/api/v1/advisory/ppa/engagements	create_engagement_endpoint
misc	GET	/api/v1/advisory/ppa/engagements/{engagement_id}	get_engagement_endpoint
misc	GET	/api/v1/advisory/ppa/engagements/{engagement_id}/export	export_endpoint
misc	POST	/api/v1/advisory/ppa/engagements/{engagement_id}/identify-intangibles	identify_intangibles_endpoint
