METHOD	PATH	HANDLER
GET	/api/v1/accounting/jv/	list_jvs_endpoint
POST	/api/v1/accounting/jv/	create_jv_endpoint
GET	/api/v1/accounting/jv/ap-ageing/export	ap_ageing_export_endpoint
GET	/api/v1/accounting/jv/ap-ageing/summary	ap_ageing_summary_endpoint
POST	/api/v1/accounting/jv/audit/export	audit_export_endpoint
GET	/api/v1/accounting/jv/audit/exports	list_audit_exports_endpoint
GET	/api/v1/accounting/jv/sla/metrics	sla_metrics_endpoint
GET	/api/v1/accounting/jv/{jv_id}	get_jv_endpoint
GET	/api/v1/accounting/jv/{jv_id}/approvals	get_jv_approvals_endpoint
POST	/api/v1/accounting/jv/{jv_id}/approve	approve_jv_endpoint
GET	/api/v1/accounting/jv/{jv_id}/history	get_jv_history_endpoint
PUT	/api/v1/accounting/jv/{jv_id}/lines	update_jv_lines_endpoint
POST	/api/v1/accounting/jv/{jv_id}/transition	transition_jv_endpoint
GET	/api/v1/bank-recon/items	list_recon_items
POST	/api/v1/bank-recon/run/{statement_id}	run_bank_recon
GET	/api/v1/bank-recon/statements	list_statements
POST	/api/v1/bank-recon/statements	create_statement
POST	/api/v1/bank-recon/transactions	add_transaction
GET	/api/v1/bank-recon/transactions/{statement_id}	list_transactions
POST	/api/v1/bank-recon/upload-statement	upload_bank_statement
GET	/api/v1/cash-flow/bridge-rules	list_bridge_rules
POST	/api/v1/cash-flow/bridge-rules	create_bridge_rule
GET	/api/v1/cash-flow/bridge-rules/{id}/versions	list_bridge_rule_versions
GET	/api/v1/cash-flow/definitions	list_statement_definitions
POST	/api/v1/cash-flow/definitions	create_statement_definition
GET	/api/v1/cash-flow/definitions/{id}/versions	list_statement_definition_versions
GET	/api/v1/cash-flow/line-mappings	list_line_mappings
POST	/api/v1/cash-flow/line-mappings	create_line_mapping
GET	/api/v1/cash-flow/line-mappings/{id}/versions	list_line_mapping_versions
POST	/api/v1/cash-flow/runs	create_run
GET	/api/v1/cash-flow/runs/{id}	get_run
GET	/api/v1/cash-flow/runs/{id}/evidence	get_run_evidence
POST	/api/v1/cash-flow/runs/{id}/execute	execute_run
GET	/api/v1/cash-flow/runs/{id}/lines	get_run_lines
GET	/api/v1/cash-flow/runs/{id}/summary	get_run_summary
GET	/api/v1/close/analytics	get_analytics
GET	/api/v1/close/history	list_history
GET	/api/v1/close/templates	list_templates
POST	/api/v1/close/templates	create_template
POST	/api/v1/close/trigger	trigger_month_end_close
GET	/api/v1/close/{period}	get_or_create_checklist
PATCH	/api/v1/close/{period}/tasks/{task_id}	patch_task_status
POST	/api/v1/close/{period}/tasks/{task_id}/assign	assign_task
GET	/api/v1/close/{workflow_id}/status	get_month_end_close_status
GET	/api/v1/coa/erp-mappings	list_erp_mappings
POST	/api/v1/coa/erp-mappings/auto-suggest	auto_suggest_erp_mappings
POST	/api/v1/coa/erp-mappings/bulk-confirm	bulk_confirm_erp_mappings
GET	/api/v1/coa/erp-mappings/summary	get_erp_mapping_summary
GET	/api/v1/coa/erp-mappings/unmapped	get_unmapped_erp_accounts
PATCH	/api/v1/coa/erp-mappings/{mapping_id}/confirm	confirm_erp_mapping
GET	/api/v1/coa/fs-classifications	get_fs_classifications
GET	/api/v1/coa/fs-schedules	get_fs_schedules
GET	/api/v1/coa/templates	list_templates
GET	/api/v1/coa/templates/{template_id}/accounts	get_template_accounts
GET	/api/v1/coa/templates/{template_id}/hierarchy	get_template_hierarchy
GET	/api/v1/coa/tenant/accounts	get_tenant_accounts
POST	/api/v1/coa/tenant/accounts	add_tenant_custom_account
GET	/api/v1/coa/tenant/accounts/{account_id}	get_tenant_account_by_id
PATCH	/api/v1/coa/tenant/accounts/{account_id}	update_tenant_account
POST	/api/v1/coa/tenant/initialise	initialise_tenant_coa
POST	/api/v1/coa/trial-balance/classify	classify_trial_balance
POST	/api/v1/coa/trial-balance/classify-multi-entity	classify_multi_entity_trial_balance
GET	/api/v1/coa/trial-balance/export	export_classified_trial_balance
POST	/api/v1/erp-push/erp-push/jv/{jv_id}/push	push_jv_endpoint
POST	/api/v1/erp-push/erp-push/jv/{jv_id}/push-async	push_jv_async_endpoint
GET	/api/v1/erp-push/erp-push/jv/{jv_id}/push-status	get_push_status_endpoint
POST	/api/v1/erp-push/webhooks/qbo	qbo_webhook_endpoint
POST	/api/v1/erp-push/webhooks/tally	tally_webhook_endpoint
POST	/api/v1/erp-push/webhooks/zoho	zoho_webhook_endpoint
POST	/api/v1/erp-sync/backdated-alerts/{id}/acknowledge	acknowledge_backdated_alert
GET	/api/v1/erp-sync/connections	list_connections
POST	/api/v1/erp-sync/connections	create_connection
GET	/api/v1/erp-sync/connections/{connection_id}/oauth/callback	oauth_callback
POST	/api/v1/erp-sync/connections/{connection_id}/oauth/start	oauth_start
GET	/api/v1/erp-sync/connections/{id}	get_connection
POST	/api/v1/erp-sync/connections/{id}/activate	activate_connection
GET	/api/v1/erp-sync/connections/{id}/capabilities	list_connection_capabilities
POST	/api/v1/erp-sync/connections/{id}/revoke	revoke_connection
POST	/api/v1/erp-sync/connections/{id}/rotate-credentials	rotate_credentials
POST	/api/v1/erp-sync/connections/{id}/suspend	suspend_connection
POST	/api/v1/erp-sync/connections/{id}/test	test_connection
POST	/api/v1/erp-sync/connections/{id}/upgrade-connector-version	upgrade_connector_version
GET	/api/v1/erp-sync/connections/{id}/versions	list_connection_versions
GET	/api/v1/erp-sync/connectors	list_connectors
GET	/api/v1/erp-sync/connectors/{connector_type}/capabilities	get_connector_capabilities
GET	/api/v1/erp-sync/connectors/{connector_type}/versions	get_connector_versions
GET	/api/v1/erp-sync/datasets	list_datasets
