METHOD	PATH	HANDLER
GET	/api/v1/admin/ai/providers	list_provider_slots
PATCH	/api/v1/admin/ai/providers/{slot_name}	update_provider_slot
POST	/api/v1/admin/ai/providers/{slot_name}/disable	disable_provider_slot
POST	/api/v1/admin/ai/providers/{slot_name}/enable	enable_provider_slot
GET	/api/v1/advisory/fdd/engagements	list_engagements_endpoint
POST	/api/v1/advisory/fdd/engagements	create_engagement_endpoint
GET	/api/v1/advisory/fdd/engagements/{engagement_id}	get_engagement_endpoint
GET	/api/v1/advisory/fdd/engagements/{engagement_id}/export	export_endpoint
GET	/api/v1/advisory/fdd/engagements/{engagement_id}/report	report_endpoint
POST	/api/v1/advisory/fdd/engagements/{engagement_id}/run	run_engagement_endpoint
GET	/api/v1/advisory/ma/workspaces	list_workspaces_endpoint
POST	/api/v1/advisory/ma/workspaces	create_workspace_endpoint
GET	/api/v1/advisory/ma/workspaces/{workspace_id}	get_workspace_endpoint
PATCH	/api/v1/advisory/ma/workspaces/{workspace_id}	patch_workspace_endpoint
GET	/api/v1/advisory/ma/workspaces/{workspace_id}/dd	dd_summary_endpoint
POST	/api/v1/advisory/ma/workspaces/{workspace_id}/dd	create_dd_item_endpoint
PATCH	/api/v1/advisory/ma/workspaces/{workspace_id}/dd/{item_id}	patch_dd_item_endpoint
GET	/api/v1/advisory/ma/workspaces/{workspace_id}/documents	list_documents_endpoint
POST	/api/v1/advisory/ma/workspaces/{workspace_id}/documents	register_document_endpoint
POST	/api/v1/advisory/ma/workspaces/{workspace_id}/members	add_member_endpoint
GET	/api/v1/advisory/ma/workspaces/{workspace_id}/valuations	list_valuations_endpoint
POST	/api/v1/advisory/ma/workspaces/{workspace_id}/valuations	create_valuation_endpoint
GET	/api/v1/advisory/ppa/engagements	list_engagements_endpoint
POST	/api/v1/advisory/ppa/engagements	create_engagement_endpoint
GET	/api/v1/advisory/ppa/engagements/{engagement_id}	get_engagement_endpoint
GET	/api/v1/advisory/ppa/engagements/{engagement_id}/export	export_endpoint
POST	/api/v1/advisory/ppa/engagements/{engagement_id}/identify-intangibles	identify_intangibles_endpoint
GET	/api/v1/advisory/ppa/engagements/{engagement_id}/report	report_endpoint
POST	/api/v1/advisory/ppa/engagements/{engagement_id}/run	run_ppa_endpoint
POST	/api/v1/ai/stream	stream_ai_response
GET	/api/v1/audit/access	list_access_endpoint
POST	/api/v1/audit/access/grant	grant_access_endpoint
PATCH	/api/v1/audit/access/{access_id}/revoke	revoke_access_endpoint
GET	/api/v1/audit/portal/requests	auditor_list_requests_endpoint
POST	/api/v1/audit/portal/requests	auditor_create_request_endpoint
GET	/api/v1/audit/{engagement_id}/pbc	pbc_tracker_endpoint
POST	/api/v1/audit/{engagement_id}/requests/{request_id}/respond	respond_endpoint
GET	/api/v1/auditor/access-logs	get_access_logs
GET	/api/v1/auditor/grants	list_auditor_grants
POST	/api/v1/auditor/grants	create_auditor_grant
DELETE	/api/v1/auditor/grants/{grant_id}	revoke_grant
GET	/api/v1/auditor/me/access-check	check_my_access
POST	/api/v1/auth/accept-invite	accept_invite
POST	/api/v1/auth/forgot-password	forgot_password
POST	/api/v1/auth/login	user_login
POST	/api/v1/auth/logout	user_logout
GET	/api/v1/auth/me	get_me
POST	/api/v1/auth/mfa/setup	mfa_setup
POST	/api/v1/auth/mfa/verify	mfa_verify
POST	/api/v1/auth/mfa/verify-setup	verify_mfa_setup
POST	/api/v1/auth/refresh	token_refresh
POST	/api/v1/auth/register	register
POST	/api/v1/auth/reset-password	reset_password
POST	/api/v1/backup/log	backup_log
GET	/api/v1/backup/runs	backup_runs
GET	/api/v1/backup/status	backup_status
POST	/api/v1/backup/verify-integrity	backup_verify_integrity
POST	/api/v1/billing/admin/activate-tenant	activate_tenant_billing
POST	/api/v1/billing/admin/adjust-credits	adjust_credits
POST	/api/v1/billing/admin/override-provider	override_provider
GET	/api/v1/billing/credits/balance	get_credit_balance
GET	/api/v1/billing/credits/ledger	get_credit_ledger
POST	/api/v1/billing/credits/top-up	top_up_credits
GET	/api/v1/billing/invoices	list_invoices
GET	/api/v1/billing/invoices/{id}	get_invoice
POST	/api/v1/billing/invoices/{id}/pay	pay_invoice
GET	/api/v1/billing/payment-methods	list_payment_methods
POST	/api/v1/billing/payment-methods	create_payment_method
DELETE	/api/v1/billing/payment-methods/{id}	delete_payment_method
POST	/api/v1/billing/payment-methods/{id}/set-default	set_default_payment_method
GET	/api/v1/billing/plans	list_billing_plans
GET	/api/v1/billing/plans/{id}	get_billing_plan
GET	/api/v1/billing/portal	get_billing_portal
POST	/api/v1/billing/subscriptions	create_subscription
POST	/api/v1/billing/subscriptions/cancel	cancel_subscription
GET	/api/v1/billing/subscriptions/current	get_current_subscription
POST	/api/v1/billing/subscriptions/reactivate	reactivate_subscription
POST	/api/v1/billing/subscriptions/upgrade	upgrade_subscription
POST	/api/v1/billing/webhooks/razorpay	razorpay_webhook
POST	/api/v1/billing/webhooks/stripe	stripe_webhook
GET	/api/v1/budget/versions	list_versions
POST	/api/v1/budget/versions	create_version
GET	/api/v1/budget/versions/{version_id}	get_version
POST	/api/v1/budget/versions/{version_id}/approve	approve
POST	/api/v1/budget/versions/{version_id}/lines	add_line
GET	/api/v1/budget/vs-actual	vs_actual
GET	/api/v1/budget/vs-actual/export	export_vs_actual
POST	/api/v1/compliance/erasure	erasure_endpoint
GET	/api/v1/compliance/erasure-log	erasure_log_endpoint
POST	/api/v1/compliance/gdpr/breach	gdpr_breach_create
GET	/api/v1/compliance/gdpr/breaches	gdpr_breach_list
GET	/api/v1/compliance/gdpr/consent	gdpr_consent_list
POST	/api/v1/compliance/gdpr/consent	gdpr_consent_create
GET	/api/v1/compliance/gdpr/consent/summary	gdpr_consent_summary
POST	/api/v1/compliance/gdpr/export	gdpr_export
POST	/api/v1/compliance/gdpr/retention-check	gdpr_retention_check
GET	/api/v1/compliance/iso27001/controls	iso_controls
PATCH	/api/v1/compliance/iso27001/controls/{control_id}/status	iso_update_control_status
GET	/api/v1/compliance/iso27001/dashboard	iso_dashboard
POST	/api/v1/compliance/iso27001/evaluate	iso_evaluate
GET	/api/v1/compliance/iso27001/evidence	iso_evidence
GET	/api/v1/compliance/soc2/controls	soc2_controls
PATCH	/api/v1/compliance/soc2/controls/{control_id}/status	soc2_update_control_status
GET	/api/v1/compliance/soc2/dashboard	soc2_dashboard
POST	/api/v1/compliance/soc2/evaluate	soc2_evaluate
GET	/api/v1/compliance/soc2/evidence	soc2_evidence
POST	/api/v1/covenants	create_covenant_endpoint
POST	/api/v1/covenants/check	run_check_endpoint
GET	/api/v1/covenants/dashboard	covenant_dashboard_endpoint
PATCH	/api/v1/covenants/{covenant_id}	patch_covenant_endpoint
GET	/api/v1/covenants/{covenant_id}/history	history_endpoint
GET	/api/v1/delivery/logs	list_logs
