METHOD	PATH	HANDLER
POST	/api/v1/onboarding/apply	apply_onboarding_template
POST	/api/v1/onboarding/complete	finish_onboarding
GET	/api/v1/onboarding/state	get_onboarding_state
PATCH	/api/v1/onboarding/state	patch_onboarding_state
GET	/api/v1/onboarding/templates	list_templates
GET	/api/v1/onboarding/templates/{template_id}	get_template_detail
GET	/api/v1/org-setup/entities	list_entities
GET	/api/v1/org-setup/entities/{entity_id}	get_entity
PATCH	/api/v1/org-setup/entities/{entity_id}	update_entity
GET	/api/v1/org-setup/ownership-tree	get_ownership_tree
GET	/api/v1/org-setup/progress	get_progress
POST	/api/v1/org-setup/step1	submit_step1
POST	/api/v1/org-setup/step2	submit_step2
POST	/api/v1/org-setup/step3	submit_step3
POST	/api/v1/org-setup/step4	submit_step4
POST	/api/v1/org-setup/step5	submit_step5
POST	/api/v1/org-setup/step6	submit_step6
GET	/api/v1/org-setup/summary	get_setup_summary
POST	/api/v1/platform/org/assignments/entity	assign_entity_endpoint
POST	/api/v1/platform/org/assignments/organisation	assign_org_endpoint
POST	/api/v1/platform/org/entities	create_entity_endpoint
POST	/api/v1/platform/org/groups	create_group_endpoint
POST	/api/v1/platform/org/organisations	create_organisation_endpoint
POST	/api/v1/platform/tenants/onboard	onboard_tenant_endpoint
