METHOD	PATH	HANDLER
GET	/api/v1/anomalies	list_anomaly_alerts
GET	/api/v1/anomalies/thresholds	list_anomaly_thresholds
PUT	/api/v1/anomalies/thresholds/{rule_code}	update_anomaly_threshold
GET	/api/v1/anomalies/{alert_id}	get_anomaly_alert
PATCH	/api/v1/anomalies/{alert_id}/status	update_anomaly_alert_status
GET	/api/v1/anomaly-engine/anomaly-definitions	list_anomaly_definitions
POST	/api/v1/anomaly-engine/anomaly-definitions	create_anomaly_definition
GET	/api/v1/anomaly-engine/anomaly-definitions/{id}/versions	list_anomaly_definition_versions
GET	/api/v1/anomaly-engine/correlation-rules	list_correlation_rules
POST	/api/v1/anomaly-engine/correlation-rules	create_correlation_rule
GET	/api/v1/anomaly-engine/pattern-rules	list_pattern_rules
POST	/api/v1/anomaly-engine/pattern-rules	create_pattern_rule
GET	/api/v1/anomaly-engine/persistence-rules	list_persistence_rules
POST	/api/v1/anomaly-engine/persistence-rules	create_persistence_rule
POST	/api/v1/anomaly-engine/runs	create_run
GET	/api/v1/anomaly-engine/runs/{id}	get_run
GET	/api/v1/anomaly-engine/runs/{id}/evidence	list_evidence
POST	/api/v1/anomaly-engine/runs/{id}/execute	execute_run
GET	/api/v1/anomaly-engine/runs/{id}/results	list_results
GET	/api/v1/anomaly-engine/runs/{id}/rollforwards	list_rollforwards
GET	/api/v1/anomaly-engine/runs/{id}/signals	list_signals
GET	/api/v1/anomaly-engine/statistical-rules	list_statistical_rules
POST	/api/v1/anomaly-engine/statistical-rules	create_statistical_rule
GET	/api/v1/board-pack/definitions	list_definitions
POST	/api/v1/board-pack/definitions	create_definition
GET	/api/v1/board-pack/definitions/{id}/versions	list_definition_versions
GET	/api/v1/board-pack/inclusion-rules	list_inclusion_rules
POST	/api/v1/board-pack/inclusion-rules	create_inclusion_rule
GET	/api/v1/board-pack/inclusion-rules/{id}/versions	list_inclusion_rule_versions
GET	/api/v1/board-pack/narrative-templates	list_narrative_templates
POST	/api/v1/board-pack/narrative-templates	create_narrative_template
GET	/api/v1/board-pack/narrative-templates/{id}/versions	list_narrative_template_versions
POST	/api/v1/board-pack/runs	create_run
GET	/api/v1/board-pack/runs/{id}	get_run
GET	/api/v1/board-pack/runs/{id}/evidence	list_evidence_for_run
POST	/api/v1/board-pack/runs/{id}/execute	execute_run
GET	/api/v1/board-pack/runs/{id}/narratives	list_narratives_for_run
GET	/api/v1/board-pack/runs/{id}/sections	list_sections_for_run
GET	/api/v1/board-pack/runs/{id}/summary	run_summary
GET	/api/v1/board-pack/sections	list_sections
POST	/api/v1/board-pack/sections	create_section
GET	/api/v1/board-pack/sections/{id}/versions	list_section_versions
GET	/api/v1/board-packs/definitions	list_definitions
POST	/api/v1/board-packs/definitions	create_definition
DELETE	/api/v1/board-packs/definitions/{definition_id}	deactivate_definition
GET	/api/v1/board-packs/definitions/{definition_id}	get_definition
PATCH	/api/v1/board-packs/definitions/{definition_id}	update_definition
POST	/api/v1/board-packs/generate	generate_pack
GET	/api/v1/board-packs/runs	list_runs
GET	/api/v1/board-packs/runs/{run_id}	get_run
GET	/api/v1/board-packs/runs/{run_id}/artifacts	list_artifacts
GET	/api/v1/board-packs/runs/{run_id}/download/{format}	download_artifact
GET	/api/v1/board-packs/runs/{run_id}/sections	list_sections
GET	/api/v1/consolidation/adjustment-definitions	list_adjustment_definitions
POST	/api/v1/consolidation/adjustment-definitions	create_adjustment_definition
GET	/api/v1/consolidation/adjustment-definitions/{id}/versions	list_adjustment_definition_versions
GET	/api/v1/consolidation/export/{run_id}	get_consolidation_export_endpoint
GET	/api/v1/consolidation/hierarchies	list_hierarchies
POST	/api/v1/consolidation/hierarchies	create_hierarchy
GET	/api/v1/consolidation/hierarchies/{id}/versions	list_hierarchy_versions
GET	/api/v1/consolidation/ic-differences/{run_id}	get_consolidation_ic_differences_endpoint
GET	/api/v1/consolidation/intercompany-rules	list_intercompany_rules
POST	/api/v1/consolidation/intercompany-rules	create_intercompany_rule
GET	/api/v1/consolidation/intercompany-rules/{id}/versions	list_intercompany_rule_versions
GET	/api/v1/consolidation/results/{run_id}	get_consolidation_results_endpoint
GET	/api/v1/consolidation/rules	list_rules
POST	/api/v1/consolidation/rules	create_rule
GET	/api/v1/consolidation/rules/{id}/versions	list_rule_versions
POST	/api/v1/consolidation/run	start_consolidation_run_endpoint
GET	/api/v1/consolidation/run/{run_id}	get_consolidation_run_status_endpoint
GET	/api/v1/consolidation/run/{run_id}/accounts/{account_code}	get_consolidation_account_drilldown_endpoint
GET	/api/v1/consolidation/run/{run_id}/entities/{entity_id}	get_consolidation_entity_drilldown_endpoint
GET	/api/v1/consolidation/run/{run_id}/line-items/{line_item_id}	get_consolidation_line_item_drilldown_endpoint
GET	/api/v1/consolidation/run/{run_id}/snapshot-lines/{snapshot_line_id}	get_consolidation_snapshot_line_drilldown_endpoint
POST	/api/v1/consolidation/runs	create_run
GET	/api/v1/consolidation/runs/{id}	get_run
GET	/api/v1/consolidation/runs/{id}/anomalies	list_group_anomalies
GET	/api/v1/consolidation/runs/{id}/board-pack	get_group_board_pack
GET	/api/v1/consolidation/runs/{id}/evidence	list_evidence
POST	/api/v1/consolidation/runs/{id}/execute	execute_run
GET	/api/v1/consolidation/runs/{id}/metrics	list_metrics
GET	/api/v1/consolidation/runs/{id}/risks	list_group_risks
GET	/api/v1/consolidation/runs/{id}/summary	get_run_summary
GET	/api/v1/consolidation/runs/{id}/variances	list_variances
GET	/api/v1/consolidation/scopes	list_scopes
POST	/api/v1/consolidation/scopes	create_scope
GET	/api/v1/consolidation/scopes/{id}/versions	list_scope_versions
GET	/api/v1/mis/drift-events/{id}	get_drift_event
GET	/api/v1/mis/reports/{report_id}	get_mis_report
POST	/api/v1/mis/snapshots/upload	upload_snapshot
GET	/api/v1/mis/snapshots/{id}	get_snapshot
GET	/api/v1/mis/snapshots/{id}/exceptions	get_snapshot_exceptions
POST	/api/v1/mis/snapshots/{id}/finalize	finalize_snapshot
GET	/api/v1/mis/snapshots/{id}/normalized-lines	get_normalized_lines
GET	/api/v1/mis/snapshots/{id}/summary	get_snapshot_summary
POST	/api/v1/mis/snapshots/{id}/validate	validate_snapshot
GET	/api/v1/mis/templates	list_templates
POST	/api/v1/mis/templates/commit-version	commit_template_version
POST	/api/v1/mis/templates/detect	detect_template
GET	/api/v1/mis/templates/{id}/versions	list_template_versions
POST	/api/v1/observability/diff	create_diff
GET	/api/v1/observability/diff/{id}	get_diff
GET	/api/v1/observability/events/{run_id}	list_events
GET	/api/v1/observability/graph/{run_id}	get_graph
GET	/api/v1/observability/performance/{run_id}	get_performance
POST	/api/v1/observability/replay-validate/{run_id}	replay_validate
GET	/api/v1/observability/runs	list_runs
GET	/api/v1/observability/runs/{id}	get_run
GET	/api/v1/observability/runs/{id}/dependencies	get_run_dependencies
GET	/api/v1/ownership/minority-interest-rules	list_minority_interest_rules
POST	/api/v1/ownership/minority-interest-rules	create_minority_interest_rule
GET	/api/v1/ownership/minority-interest-rules/{id}/versions	list_minority_interest_rule_versions
GET	/api/v1/ownership/relationships	list_relationships
POST	/api/v1/ownership/relationships	create_relationship
GET	/api/v1/ownership/relationships/{id}/versions	list_relationship_versions
GET	/api/v1/ownership/rules	list_ownership_rules
POST	/api/v1/ownership/rules	create_ownership_rule
GET	/api/v1/ownership/rules/{id}/versions	list_ownership_rule_versions
POST	/api/v1/ownership/runs	create_run
GET	/api/v1/ownership/runs/{id}	get_run
GET	/api/v1/ownership/runs/{id}/anomalies	list_anomalies
GET	/api/v1/ownership/runs/{id}/board-pack	get_board_pack
GET	/api/v1/ownership/runs/{id}/evidence	list_evidence
POST	/api/v1/ownership/runs/{id}/execute	execute_run
GET	/api/v1/ownership/runs/{id}/metrics	list_metrics
GET	/api/v1/ownership/runs/{id}/risks	list_risks
GET	/api/v1/ownership/runs/{id}/summary	get_run_summary
GET	/api/v1/ownership/runs/{id}/variances	list_variances
GET	/api/v1/ownership/structures	list_structures
POST	/api/v1/ownership/structures	create_structure
GET	/api/v1/ownership/structures/{id}/versions	list_structure_versions
GET	/api/v1/pipeline/runs	list_pipeline_runs
GET	/api/v1/pipeline/runs/{pipeline_run_id}	get_pipeline_run_detail
GET	/api/v1/pipeline/runs/{pipeline_run_id}/steps	get_pipeline_run_steps
POST	/api/v1/pipeline/trigger	trigger_pipeline_run
GET	/api/v1/ratio-variance/materiality-rules	list_materiality_rules
POST	/api/v1/ratio-variance/materiality-rules	create_materiality_rule
GET	/api/v1/ratio-variance/materiality-rules/{id}/versions	list_materiality_rule_versions
GET	/api/v1/ratio-variance/metric-definitions	list_metric_definitions
POST	/api/v1/ratio-variance/metric-definitions	create_metric_definition
GET	/api/v1/ratio-variance/metric-definitions/{id}/versions	list_metric_definition_versions
POST	/api/v1/ratio-variance/runs	create_run
GET	/api/v1/ratio-variance/runs/{id}	get_run
GET	/api/v1/ratio-variance/runs/{id}/evidence	list_evidence
POST	/api/v1/ratio-variance/runs/{id}/execute	execute_run
GET	/api/v1/ratio-variance/runs/{id}/metrics	list_metrics
GET	/api/v1/ratio-variance/runs/{id}/summary	get_summary
GET	/api/v1/ratio-variance/runs/{id}/trends	list_trends
GET	/api/v1/ratio-variance/runs/{id}/variances	list_variances
GET	/api/v1/ratio-variance/trend-definitions	list_trend_definitions
POST	/api/v1/ratio-variance/trend-definitions	create_trend_definition
GET	/api/v1/ratio-variance/trend-definitions/{id}/versions	list_trend_definition_versions
GET	/api/v1/ratio-variance/variance-definitions	list_variance_definitions
POST	/api/v1/ratio-variance/variance-definitions	create_variance_definition
GET	/api/v1/ratio-variance/variance-definitions/{id}/versions	list_variance_definition_versions
GET	/api/v1/reports/definitions	list_definitions
POST	/api/v1/reports/definitions	create_definition
DELETE	/api/v1/reports/definitions/{id}	delete_definition
GET	/api/v1/reports/definitions/{id}	get_definition
PATCH	/api/v1/reports/definitions/{id}	update_definition
GET	/api/v1/reports/metrics	get_metrics
POST	/api/v1/reports/run	run_report
GET	/api/v1/reports/runs	list_runs
GET	/api/v1/reports/runs/{id}	get_run
GET	/api/v1/reports/runs/{id}/download/{fmt}	download_result
GET	/api/v1/reports/runs/{id}/result	get_result
GET	/api/v1/search	search_endpoint
POST	/api/v1/search/reindex	reindex_endpoint
GET	/api/v1/search/reindex/{task_id}/status	reindex_status_endpoint
